DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-06-29 23:43:28,42777.710938,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,6,0,0,2,0,0,TimedOut,542.000,0,1,,,,,,,,,,,,,,,,
2026-06-29 23:45:33,42901.972656,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,6,0,0,2,0,0,,,,,Disabled,25.6,40.2,993.0,15.5,0.000,0.000,253872,344900,250888,1752,4.05,83.52
2026-06-29 23:55:45,43514.746094,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,6,0,0,2,0,0,,,,,Disabled,25.6,40.0,993.0,15.5,0.000,0.000,253872,344900,250888,1777,4.05,83.36
2026-06-30 00:05:58,44127.539062,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,6,0,0,2,0,0,,,,,Disabled,25.6,39.9,993.0,15.6,0.000,0.000,253872,344900,250888,1802,4.05,83.20
2026-06-30 00:16:10,44740.324219,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,6,0,0,2,0,0,,,,,Disabled,25.6,39.9,993.0,15.6,0.000,0.000,253872,344900,250888,1827,4.05,83.03
2026-06-30 00:16:27,44756.832031,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,7,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-30 00:16:47,44777.367188,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,7,0,0,2,0,0,TimedOut,542.000,0,1,,,,,,,,,,,,,,,,
2026-06-30 00:26:24,45354.605469,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,7,0,0,2,0,0,,,,,Disabled,25.6,40.0,993.0,15.6,0.000,0.000,253872,344900,250888,1853,4.05,82.87
2026-06-30 00:30:43,45613.675781,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,8,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-30 00:31:04,45634.214844,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,8,0,0,2,0,0,TimedOut,542.000,0,1,,,,,,,,,,,,,,,,
